# File: WEO2022_elec_params.csv,,,,,,,
# Title: Power technology assumptions of WEO2022,,,,,,,
# Units: in file,,,,,,,
# Source: WEO 2022 (https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2022-free-dataset#tables-for-scenario-projections),,,,,,,
# Comments: WEO technologies are mapped to GCAM technologies in energy/mappings/weo_elec_mapping.csv. Regions are mapped in energy/mappings/weo_elec_mapping.csv,,,,,,,
# Column types: cnnncccc,,,,,,,
# ----------,,,,,,,
region,2021,2030,2050,scenario,Unit,technology,subsector
Russia,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
China,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
India,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
Middle East,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
Africa,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
Brazil,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
European Union,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
United States,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Japan,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Russia,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
China,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
India,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Middle East,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Africa,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Brazil,0.35,0.35,0.35,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
European Union,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
United States,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Japan,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Russia,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
China,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
India,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Middle East,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Africa,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Brazil,0.37,0.37,0.37,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
European Union,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
United States,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Japan,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Russia,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
China,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
India,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Middle East,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Africa,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Brazil,0.7,0.7,0.7,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
European Union,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
United States,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Japan,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Russia,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
China,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
India,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Middle East,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Africa,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Brazil,0.3,0.3,0.3,Stated.Policies,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
European Union,0.4,0.4,0.4,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
United States,0.4,0.4,0.4,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Japan,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Russia,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
China,0.4,0.4,0.4,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
India,0.4,0.4,0.4,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Middle East,0.4,0.4,0.4,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Africa,0.4,0.4,0.4,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Brazil,0.4,0.4,0.4,Stated.Policies,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
European Union,0.1,0.1,0.1,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
United States,0.1,0.1,0.1,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
Japan,0.1,0.1,0.1,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
Russia,0.1,0.1,0.1,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
China,0.1,0.1,0.1,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
India,0.1,0.1,0.1,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
Middle East,0.1,0.1,0.1,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
Africa,0.1,0.1,0.1,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
Brazil,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",Geothermal,renewables
European Union,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
United States,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
Japan,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
Russia,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
China,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
India,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
Middle East,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
Africa,1,1,1,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
Brazil,NA,NA,NA,Stated.Policies,"Efficiency
(gross, LHV)",Marine,renewables
European Union,0.14,0.14,0.14,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
United States,0.21,0.22,0.23,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Japan,0.14,0.14,0.14,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Russia,0.13,0.13,0.14,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
China,0.17,0.18,0.19,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
India,0.2,0.21,0.22,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Middle East,0.25,0.25,0.26,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Africa,0.22,0.23,0.23,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Brazil,0.2,0.21,0.22,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
European Union,0.13,0.13,0.14,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
United States,0.16,0.17,0.17,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Japan,0.13,0.13,0.13,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Russia,0.09,0.1,0.11,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
China,0.14,0.15,0.15,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
India,0.16,0.17,0.18,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Middle East,0.18,0.19,0.2,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Africa,0.18,0.19,0.19,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Brazil,0.16,0.18,0.18,Stated.Policies,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
European Union,0.29,0.3,0.3,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
United States,0.42,0.43,0.44,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
Japan,0.26,0.28,0.29,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
Russia,0.26,0.29,0.31,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
China,0.26,0.27,0.28,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
India,0.26,0.28,0.3,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
Middle East,0.35,0.35,0.36,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
Africa,0.32,0.34,0.35,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
Brazil,0.44,0.44,0.44,Stated.Policies,"Capacity factor
(%)",Wind onshore,renewables
European Union,0.51,0.56,0.59,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
United States,0.42,0.46,0.49,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
Japan,0.4,0.44,0.46,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
Russia,0.39,0.42,0.44,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
China,0.33,0.39,0.43,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
India,0.33,0.37,0.39,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
Middle East,0.34,0.37,0.39,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
Africa,0.37,0.4,0.43,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
Brazil,0.48,0.51,0.53,Stated.Policies,"Capacity factor
(%)",Wind offshore,renewables
European Union,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
United States,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
Japan,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
Russia,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
China,0.35,0.35,0.35,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
India,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
Middle East,0.15,0.15,0.15,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
Africa,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
Brazil,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Hydropower - large-scale unit,renewables
European Union,0.25,0.25,0.25,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
United States,0.3,0.3,0.3,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
Japan,0.2,0.2,0.2,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
Russia,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
China,0.35,0.35,0.35,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
India,0.35,0.35,0.35,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
Middle East,0.15,0.15,0.15,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
Africa,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
Brazil,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Hydropower - small-scale unit,renewables
European Union,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
United States,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
Japan,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
Russia,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
China,0.7,0.7,0.7,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
India,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
Middle East,0.8,0.8,0.8,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
Africa,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
Brazil,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Bioenergy - Large scale unit,renewables
European Union,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
United States,0.7,0.7,0.7,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
Japan,0.8,0.8,0.8,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
Russia,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
China,0.8,0.8,0.8,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
India,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
Middle East,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
Africa,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
Brazil,0.7,0.7,0.7,Stated.Policies,"Capacity factor
(%)",Bioenergy - Cofiring,renewables
European Union,0.7,0.7,0.7,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
United States,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
Japan,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
Russia,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
China,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
India,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
Middle East,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
Africa,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
Brazil,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy - Medium-scale CHP,renewables
European Union,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
United States,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
Japan,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
Russia,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
China,0.7,0.7,0.7,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
India,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
Middle East,0.8,0.8,0.8,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
Africa,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
Brazil,0.4,0.4,0.4,Stated.Policies,"Capacity factor
(%)",Bioenergy + CCUS,renewables
European Union,0.3,0.36,0.42,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
United States,0.28,0.34,0.4,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
Japan,NA,NA,NA,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
Russia,NA,NA,NA,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
China,0.28,0.34,0.4,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
India,0.26,0.3,0.36,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
Middle East,0.3,0.36,0.42,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
Africa,0.3,0.36,0.42,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
Brazil,0.28,0.34,0.4,Stated.Policies,"Capacity factor
(%)",Concentrating solar power,renewables
European Union,0.85,0.85,0.85,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
United States,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
Japan,0.6,0.6,0.6,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
Russia,0.65,0.65,0.65,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
China,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
India,0.5,0.5,0.5,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
Middle East,0.8,0.8,0.8,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
Africa,0.8,0.8,0.8,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
Brazil,NA,NA,NA,Stated.Policies,"Capacity factor
(%)",Geothermal,renewables
European Union,0.25,0.25,0.25,Stated.Policies,"Capacity factor
(%)",Marine,renewables
United States,0.3,0.3,0.3,Stated.Policies,"Capacity factor
(%)",Marine,renewables
Japan,0.3,0.3,0.3,Stated.Policies,"Capacity factor
(%)",Marine,renewables
Russia,0.3,0.3,0.3,Stated.Policies,"Capacity factor
(%)",Marine,renewables
China,0.3,0.3,0.35,Stated.Policies,"Capacity factor
(%)",Marine,renewables
India,0.3,0.3,0.3,Stated.Policies,"Capacity factor
(%)",Marine,renewables
Middle East,0.3,0.3,0.3,Stated.Policies,"Capacity factor
(%)",Marine,renewables
Africa,0.3,0.3,0.3,Stated.Policies,"Capacity factor
(%)",Marine,renewables
Brazil,NA,NA,NA,Stated.Policies,"Capacity factor
(%)",Marine,renewables
European Union,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
United States,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
Japan,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
Russia,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
China,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
India,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
Middle East,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
Africa,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
Brazil,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Large scale unit,renewables
European Union,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
United States,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
Japan,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
Russia,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
China,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
India,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
Middle East,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
Africa,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
Brazil,1,1,1,Stated.Policies,"Construction Time
(years)",Solar photovoltaics - Buildings,renewables
European Union,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
United States,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
Japan,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
Russia,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
China,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
India,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
Middle East,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
Africa,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
Brazil,1.5,1.5,1.5,Stated.Policies,"Construction Time
(years)",Wind onshore,renewables
European Union,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
United States,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
Japan,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
Russia,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
China,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
India,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
Middle East,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
Africa,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
Brazil,3,3,3,Stated.Policies,"Construction Time
(years)",Wind offshore,renewables
European Union,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
United States,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
Japan,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
Russia,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
China,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
India,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
Middle East,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
Africa,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
Brazil,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - large-scale unit,renewables
European Union,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
United States,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
Japan,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
Russia,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
China,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
India,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
Middle East,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
Africa,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
Brazil,4,4,4,Stated.Policies,"Construction Time
(years)",Hydropower - small-scale unit,renewables
European Union,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
United States,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
Japan,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
Russia,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
China,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
India,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
Middle East,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
Africa,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
Brazil,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy - Large scale unit,renewables
European Union,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
United States,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
Japan,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
Russia,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
China,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
India,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
Middle East,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
Africa,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
Brazil,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Cofiring,renewables
European Union,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
United States,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
Japan,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
Russia,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
China,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
India,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
Middle East,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
Africa,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
Brazil,2,2,2,Stated.Policies,"Construction Time
(years)",Bioenergy - Medium-scale CHP,renewables
European Union,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy + CCUS,renewables
United States,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy + CCUS,renewables
Japan,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy + CCUS,renewables
Russia,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy + CCUS,renewables
China,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy + CCUS,renewables
India,3,3,3,Stated.Policies,"Construction Time
(years)",Bioenergy + CCUS,renewables
